id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Beats on Fire,Urban Rhythms,hip-hop,energetic,0.85,96,0.73,0.81,0.12
12,Neon Dreams,SynthWave Kings,electronic,happy,0.88,128,0.79,0.91,0.08
13,Acoustic Breeze,Wooden Strings,acoustic,relaxed,0.32,85,0.72,0.45,0.93
14,Thunder in the Sky,Metal Forge,metal,intense,0.95,160,0.31,0.58,0.04
15,Country Roads,Nashville Souls,country,happy,0.58,112,0.81,0.68,0.76
16,Blue Note Blues,Jazz Collective,blues,sad,0.44,92,0.38,0.52,0.85
17,Irie Vibes,Island Rhythm,reggae,chill,0.52,100,0.75,0.71,0.65
18,Symphony of Wonder,Classical Ensemble,classical,inspired,0.61,95,0.82,0.38,0.96
19,Desert Soul,Folk Wanderer,folk,contemplative,0.35,88,0.59,0.41,0.91
20,Midnight Sadness,Slow Ballad Co,pop,sad,0.38,68,0.31,0.55,0.48
